# python scripts/zhao2d_gradient_check.py --thermal-refinement 2   (2026-09-23, local CPU)
# Newton progress lines removed; everything else verbatim.
DUAL MESH: thermal refinement 2, 5200 thermal elements, quadrature 3
mesh h = 0.0002, 1300 elements, 1250 design variables
filter radius = 2.0 h, projection beta = 0.0
Psi_0 = 0.030833302, C_0 = 20491.09114

--- stage reference (alpha_max 1e+06, beta 0) | uniform 0.6 ---
    base converged: flow 1.86e-14, thermal 3.60e-14
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
       342    J   1.047843e-01      1.79e-10     1.45e-09     1.94e-09  1.79e-10
       442  Psi   5.113833e-03      9.64e-11     2.29e-09     1.42e-08  9.64e-11
       442    C  -1.855344e+00      4.19e-07     1.67e-08     8.14e-08  1.67e-08
       442    g  -4.475443e-03      1.53e-09     1.45e-09     1.10e-08  1.45e-09
       442    J   8.288183e-02      1.52e-10     2.51e-09     8.94e-09  1.52e-10
        74  Psi   3.623641e-03      2.42e-09     1.04e-08     3.34e-08  2.42e-09
        74    C  -6.572192e+01      4.53e-10     9.23e-09     5.17e-08  4.53e-10
        74    g  -4.885325e-03      1.68e-09     2.07e-10     9.29e-10  2.07e-10
        74    J   5.715813e-02      2.49e-09     1.04e-08     4.77e-08  2.49e-09
       623  Psi   2.475749e-03      8.20e-11     1.94e-09     4.45e-08  8.20e-11
       623    C   3.976211e+00      8.01e-08     5.73e-08     1.43e-06  5.73e-08
       623    g  -4.475443e-03      1.65e-09     1.45e-09     1.10e-08  1.45e-09
       623    J   4.024435e-02      1.42e-10     2.06e-09     4.18e-08  1.42e-10
      dir0  Psi  -9.422698e-02      8.03e-08     7.24e-10     1.59e-10  1.59e-10
      dir0    C   2.255605e+02      2.70e-07     4.29e-09     1.91e-08  4.29e-09
      dir0    g   1.727448e-01      2.03e-08     1.67e-10     7.02e-11  7.02e-11
      dir0    J  -1.522503e+00      8.16e-08     7.78e-10     3.89e-10  3.89e-10
      dir1  Psi  -3.028914e-01      7.25e-08     7.71e-10     1.51e-12  1.51e-12
      dir1    C   2.202578e+02      3.50e-07     3.49e-09     8.90e-09  3.49e-09
      dir1    g   1.205574e-01      3.73e-08     3.79e-10     1.04e-11  1.04e-11
      dir1    J  -4.906383e+00      7.30e-08     7.81e-10     8.80e-11  8.80e-11

--- stage projected (alpha_max 1e+07, beta 8) | non-uniform grey ---
    base converged: flow 8.32e-14, thermal 3.99e-14
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
       368  Psi   1.997977e-03      2.28e-10     1.20e-09     5.74e-09  2.28e-10
       368    C  -1.953696e+02      7.18e-10     2.49e-09     6.77e-08  7.18e-10
       368    g  -7.152467e-03      3.90e-09     1.73e-10     7.59e-09  1.73e-10
       368    J   2.763248e-02      2.25e-10     4.18e-10     3.63e-09  2.25e-10
       403  Psi   4.620225e-03      1.45e-09     8.36e-10     7.57e-09  8.36e-10
       403    C   1.508105e+02      2.88e-09     1.45e-08     6.76e-08  2.88e-09
       403    g  -5.602606e-03      6.73e-10     2.10e-09     1.38e-08  6.73e-10
       403    J   7.860255e-02      1.49e-09     2.13e-11     2.28e-09  2.13e-11
       826  Psi   1.184778e-03      1.87e-09     2.82e-09     2.39e-08  1.87e-09
       826    C  -2.141304e+01      1.21e-09     9.84e-09     6.47e-07  1.21e-09
       826    g  -5.498488e-03      1.20e-10     1.90e-09     1.43e-08  1.20e-10
       826    J   1.869014e-02      2.04e-09     1.77e-09     3.50e-08  1.77e-09
       399  Psi   7.051348e-03      2.35e-09     5.76e-10     3.75e-09  5.76e-10
       399    C   8.574622e+01      2.30e-08     8.39e-09     5.53e-08  8.39e-09
       399    g  -5.269940e-03      6.95e-09     2.74e-09     5.69e-09  2.74e-09
       399    J   1.164386e-01      1.92e-09     7.38e-10     2.69e-09  7.38e-10
      1205  Psi   6.747250e-05      2.87e-09     3.17e-08     9.48e-09  2.87e-09
      1205    C   5.997218e+01      2.17e-08     4.39e-09     1.20e-07  4.39e-09
      1205    g  -6.438087e-03      1.10e-08     1.06e-09     9.29e-09  1.06e-09
      1205    J   2.557522e-03      1.29e-08     2.33e-08     1.80e-07  1.29e-08
       186  Psi   2.167264e-03      4.19e-09     4.71e-10     3.37e-09  4.71e-10
       186    C  -1.175988e+02      3.54e-09     3.26e-09     1.42e-07  3.26e-09
       186    g  -6.089234e-03      3.96e-09     1.41e-09     5.06e-09  1.41e-09
       186    J   3.227535e-02      4.36e-09     1.61e-09     1.08e-08  1.61e-09
      dir0  Psi  -2.663243e-02      2.82e-07     2.76e-09     1.82e-09  1.82e-09
      dir0    C  -9.255684e+02      4.25e-07     3.51e-09     2.32e-08  3.51e-09
      dir0    g   2.356571e-01      7.71e-08     8.36e-10     1.07e-10  1.07e-10
      dir0    J  -4.544623e-01      2.89e-07     2.79e-09     1.37e-10  1.37e-10
      dir1  Psi   5.726090e-02      1.32e-07     1.32e-09     4.50e-10  4.50e-10
      dir1    C  -4.747421e+03      1.53e-08     3.45e-10     1.49e-09  3.45e-10
      dir1    g  -1.551604e-01      2.41e-08     2.03e-10     1.06e-09  2.03e-10
      dir1    J   8.127149e-01      1.48e-07     1.45e-09     5.80e-10  5.80e-10

summary figure = max over (stage, field, probe, quantity) of min over step of relative error
  = 5.682e-07
  This is the best-step disagreement, NOT a plateau demonstration; read the per-step columns above for the trend.
gradient check passed
